,WellName,SampleName,Amp,Off,EC50,AUC,rEC50,SEAmp,SEOff,SEEC50,SEauc,SErEC50,c^2,R^2,BSA
49,Sample127_49,S50,0.19879681285877956,0.05876159352638006,1.4167245295662598,0.04838240987231927,0.7058535227777535,0.023230505164498264,0.0007059427495205589,0.267138528895124,0.0013080665859975273,0.14286613636451087,1.7507900888334674e-06,-715.0500515333787,0.307
50,Sample128_50,S51,4.633237838295899,0.049500251621808336,2.4230797225259937,0.7543967196206589,0.4126979358968543,0.4076989329520803,0.007108840020037003,0.3077672580500936,0.01199464014379544,0.05370566452182144,7.865502861863079e-05,-4343.53832981919,0.291
51,Sample129_51,S52,2.4413153893903203,0.023797396045222886,0.5339485753217224,1.0656917208239551,1.8728395321543196,0.1494443335723842,0.021968502668402376,0.08464265159715645,0.034175985358738156,0.2866605977707424,0.001053070484247513,-439.7948568276756,0.296
52,Sample13_52,S53,0.5436384739286753,0.05162101705004841,4.797532110590065,0.04984074851862208,0.20844050168889994,0.1084407878401077,0.002186998179699752,1.1214088448105832,0.00281748376571704,0.15195179746365534,1.6535056773379855e-05,-99.71853332537741,0.416
53,Sample130_53,S54,8.056965779177505,0.017579831922166052,4.797532110590065,0.7386622258744235,0.20844050168889994,1.6601460442068037,0.02610572363126084,1.2245583737149768,0.03979810343012138,0.15461866274134933,0.0027218506470497515,-133.12454759865955,0.24
54,Sample131_54,S55,2.062994843170235,0.05183628013742368,0.3277981070992116,1.117008518557319,3.05065825074255,0.017997740241196308,0.004159574407131699,0.009334506592093476,0.006654064111352964,0.08670723905889592,3.2390465495540964e-05,-13610.929928187134,0.518
55,Sample132_55,S56,1.95410081854727,0.042035775885506464,0.23295999476740362,1.195552666523962,4.292582513999621,0.06447103398367032,0.031090090929588473,0.03294284148511971,0.03936117469368315,0.5934271062081896,0.001135734813582069,-403.3718608497279,0.195
56,Sample133_56,S57,2.318574855666315,0.09830736685239697,0.48430709779748055,1.060942138387496,2.064805584200138,0.0033378587042319214,0.001123268139238081,5.551115123125783e-16,0.0015273498471048675,1.7763568394002505e-15,3.499748282753759e-06,-127467.73316528404,0.152
57,Sample134_57,S58,1.804760792983641,-0.05885775027146798,0.015917318228268185,1.6853675726947352,62.824653352978835,0.031880120733642804,0.03628121785756485,0.001074813499914504,0.034511436057888985,4.3099108842916705,0.00021485745109928677,-1783.6886452922563,0.132
58,Sample135_58,S59,1.9802132723940322,0.013933397317611295,0.09219018055588282,1.5289184755144243,10.847142222417398,0.0590203637057585,0.03878472402733806,0.01160390008976996,0.04895588255005179,1.2459154611711942,0.0014680491393032544,-397.40795357226415,0.133
59,Sample136_59,S60,3.016758768204759,0.05142592212848859,1.2850109111712105,0.7853923489133595,0.7782035088624734,0.1093923387085886,0.004782881554708552,0.08375070417156685,0.008808241715174334,0.050821104310197034,7.004281548431678e-05,-4598.536408871736,0.129
60,Sample137_60,S61,1.2239176304000228,0.052912352827921866,4.797532110590065,0.11220870808396582,0.20844050168889994,0.3488242184195983,0.009437452769853307,1.5767178086376763,0.013347469359852308,0.38874912592216965,0.00023749926131529727,-35.05928408326265,0.18
61,Sample138_61,S62,1.014946109217559,0.05789852534178437,4.797532110590065,0.09305020931263794,0.20844050168889994,0.26283200662816986,0.006174151829204733,1.4854983068036396,0.007736501733030832,0.2507009396935928,9.614295947066206e-05,-59.69628012419051,0.479
62,Sample139_62,S63,1.8423822722385308,0.08116583381003774,0.030014477465219926,1.6468674939198062,33.31725501997416,0.030371574936896406,0.027856040055314023,0.001515686506645898,0.03036662381054003,1.7011625638269716,0.00028568542897763064,-1680.4328089898697,0.142
63,Sample14_63,S64,1.0335291135012572,0.051210494831441175,4.797532110590065,0.09475389823025822,0.20844050168889994,0.18144235300590386,0.002369164490853011,1.0342363517708315,0.0034108670761232966,0.09381965274009532,1.480571212939057e-05,-403.11790267460884,1.083
64,Sample140_64,S65,1.9959156378225769,0.05844006281937158,0.15767649423657573,1.3685040018451102,6.342099403222481,0.025851366930074504,0.014855393434551726,0.00898813586339368,0.0192562535948444,0.34334528752502824,0.00028428989595939556,-1898.7922226911405,0.124
65,Sample141_65,S66,1.9000983116782824,-0.09804488050387887,0.02133072876814305,1.7432975104068842,46.88072362035173,0.062194915753700744,0.07165822825516026,0.003054325158687925,0.06807610388676541,7.388373758825968,0.001785954109624334,-262.7699726594633,0.831
66,Sample142_66,S67,1.0150899250771968,0.05529165277859276,4.797532110590065,0.0930633943435674,0.20844050168889994,0.2935365144566657,0.006492248773090587,1.5469864535991082,0.010318387426280811,0.3413199591921081,0.0001406361906560285,-40.75843102171599,0.189
67,Sample143_67,S68,2.2842176294513172,0.038568694278836586,0.3984406479172612,1.1415058775635312,2.509784092630169,0.07586730420787187,0.01801467932350638,0.03887504646213049,0.026713996147421423,0.24740834871969827,0.00040466047102182516,-1204.369360890765,0.137
68,Sample144_68,S69,1.4577876500142881,0.40944148259790464,0.0036829084811000716,1.4276803241633818,271.5245315303908,0.141234476053233,0.1450798512849266,0.0006376875579550176,0.14263755194981548,49.62619597343962,0.00016268634220554856,-566.7169049014162,0.134
69,Sample15_69,S70,1.6630596603774803,0.05192696666320342,4.797532110590065,0.15246922776700655,0.20844050168889994,0.43213316289032233,0.010411031734192621,1.4774140254352013,0.013045064681131735,0.2841244012052632,0.000250396130983997,-61.54750531402691,0.475
70,Sample16_70,S71,0.689435000986131,0.05585380322646474,4.797532110590065,0.06320736693958487,0.20844050168889994,0.17085493111386943,0.004163356645811529,1.4235247781718694,0.005909788203855933,0.21720305256311268,4.814754524485784e-05,-54.98790107140298,0.227
71,Sample17_71,S72,2.094566194076011,0.08035067841154302,0.4183626803131243,1.024697248670081,2.3902705644096844,0.10879528221054445,0.02908384815556062,0.06235870074515676,0.037745463979501855,0.3623108188852148,0.001474608501620351,-270.0285563213368,0.202
72,Sample18_72,S73,0.5215615951927784,0.05647601018201586,4.797532110590065,0.04781674136327805,0.20844050168889994,0.14992096983898087,0.004404404371597601,1.6242884587037758,0.0059715493241100405,0.4475620280032007,4.686255471210592e-05,-32.25014345118797,0.38
73,Sample19_73,S74,1.8858350393534995,-0.045077637616522455,0.030014477465219926,1.685709025756498,33.31725501997416,0.035262984869996614,0.03273406316200019,0.002103868672996078,0.035463117164355656,2.3361495443066667,0.0005077868798848492,-990.4662363486722,0.385
74,Sample2_74,S75,1.809928768940534,0.02376857978507537,0.044345053123473324,1.5563714833647042,22.55042963226639,0.017150347426002865,0.016979200331378872,0.002127379548467207,0.01824016312302879,1.075143157660545,0.000145012152390503,-3377.1459364464663,0.435
75,Sample20_75,S76,0.3601036535357112,0.05579163980464177,4.797532110590065,0.03301428522306008,0.20844050168889994,0.06670636046223268,0.0009023883348272605,1.0621280739056542,0.0012761532355378042,0.1043075543595354,2.5242924908370835e-06,-286.97508053128746,0.199
76,Sample21_76,S77,1.8274390052715055,-0.004050436698843066,0.0687937321495104,1.48257727208252,14.536208005500933,0.03968087273352555,0.03359156206236364,0.008271277849537987,0.038652617033109786,1.8063609675646013,0.0011866389698042981,-426.51712433956715,0.21
77,Sample22_77,S78,0.5680251679494789,0.055855644217633206,4.797532110590065,0.05207651942554087,0.20844050168889994,0.1697042836708847,0.004542879281951683,1.7082686063203418,0.006397685178502015,0.4665134306898739,6.0696788215489185e-05,-29.516716306151896,0.256
78,Sample23_78,S79,0.5098789412755534,0.057634291984134195,4.797532110590065,0.04674567622745233,0.20844050168889994,0.1151097775743665,0.0021132074486313337,1.2660750421031621,0.002700803291035356,0.14613547190663642,1.3998796287535847e-05,-103.6185188534613,0.229
